CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.359.742/0001-08;2024-12-31;2;FICTOR ALIMENTOS S.A.;015423;DFP;146193;2025-04-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146193
00.359.742/0001-08;2024-12-31;3;FICTOR ALIMENTOS S.A.;015423;DFP;146198;2025-04-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146198
00.383.281/0001-09;2024-12-31;1;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;DFP;144990;2025-02-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144990
00.389.481/0001-79;2024-12-31;1;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;024880;DFP;145791;2025-03-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145791
00.644.907/0001-93;2024-12-31;1;INVESTCO S.A.;018589;DFP;145018;2025-02-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145018
00.743.065/0001-27;2024-12-31;1;LITEL PARTICIPACOES S.A.;015091;DFP;145849;2025-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145849
00.776.574/0001-56;2024-12-31;1;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;020990;DFP;145807;2025-03-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145807
00.864.214/0001-06;2024-12-31;1;ENERGISA S.A.;015253;DFP;145509;2025-03-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145509
00.873.894/0001-24;2024-12-31;1;LETS RENT A CAR S/A;027383;DFP;145574;2025-03-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145574
00.897.864/0001-58;2024-12-31;1;SANTA CATARINA PART INVEST SA;015199;DFP;145776;2025-03-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145776
00.924.429/0001-75;2024-12-31;1;FERROVIA CENTRO-ATLANTICA S.A.;015369;DFP;145792;2025-03-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145792
00.938.574/0001-05;2024-12-31;1;CONC RIO-TERESOPOLIS S.A.;019208;DFP;145214;2025-03-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145214
00.974.211/0001-25;2024-12-31;1;LINHA AMARELA S.A. - LAMSA;024937;DFP;145671;2025-03-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145671
00.979.969/0001-56;2024-12-31;1;CAIXA ADM DIV PUB ESTADUAL SA;015717;DFP;145083;2025-02-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145083
01.027.058/0001-91;2024-12-31;1;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;021733;DFP;145036;2025-02-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145036
01.083.200/0001-18;2024-12-31;1;NEOENERGIA S.A.;015539;DFP;144837;2025-02-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144837
01.083.200/0001-18;2024-12-31;2;NEOENERGIA S.A.;015539;DFP;144935;2025-02-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144935
01.104.937/0001-70;2024-12-31;1;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;015784;DFP;146048;2025-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146048
01.258.944/0001-26;2024-12-31;1;RUMO MALHA SUL S.A.;015709;DFP;145417;2025-03-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145417
01.319.044/0001-41;2024-12-31;1;WTC AMAZONAS SUITE HOTEL S.A.;015741;DFP;145974;2025-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145974
01.417.222/0001-77;2024-12-31;1;MRS LOGISTICA S.A.;017949;DFP;145311;2025-03-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145311
01.543.032/0001-04;2024-12-31;1;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;025577;DFP;145822;2025-03-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145822
01.545.826/0001-07;2024-12-31;1;GAFISA S.A.;016101;DFP;145879;2025-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145879
01.548.981/0001-79;2024-12-31;1;INVESTIMENTOS BEMGE S.A.;006041;DFP;144654;2025-02-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144654
01.616.929/0001-02;2024-12-31;1;SANEAMENTO DE GOIAS SA;019186;DFP;145383;2025-03-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145383
01.637.895/0001-32;2024-12-31;1;VOTORANTIM CIMENTOS S.A.;027189;DFP;145523;2025-03-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145523
01.838.723/0001-27;2024-12-31;1;BRF S.A.;016292;DFP;145059;2025-02-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145059
01.851.771/0001-55;2024-12-31;1;524 PARTICIPACOES S.A.;016284;DFP;145737;2025-03-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145737
01.896.779/0001-38;2024-12-31;1;CSU DIGITAL S.A.;020044;DFP;145270;2025-03-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145270
01.896.779/0001-38;2024-12-31;2;CSU DIGITAL S.A.;020044;DFP;146056;2025-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146056
01.917.818/0001-36;2024-12-31;1;LIGHT ENERGIA S.A.;023000;DFP;145884;2025-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145884
01.938.783/0001-11;2024-12-31;1;CIA PARTICIPACOES ALIANCA DA BAHIA;018708;DFP;145956;2025-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145956
01.938.783/0001-11;2024-12-31;2;CIA PARTICIPACOES ALIANCA DA BAHIA;018708;DFP;146153;2025-04-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146153
01.957.772/0001-89;2024-12-31;1;SUL 116 PARTICIPACOES S.A.;016438;DFP;145985;2025-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145985
01.968.293/0001-68;2024-12-31;1;ELETRORIVER S.A.;026891;DFP;144842;2025-02-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144842
01.989.044/0001-59;2024-12-31;1;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;016551;DFP;145975;2025-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145975
02.016.440/0001-62;2024-12-31;1;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;016527;DFP;145061;2025-02-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145061
02.016.507/0001-69;2024-12-31;1;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;027480;DFP;145627;2025-03-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145627
02.041.460/0001-93;2024-12-31;1;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;027022;DFP;145804;2025-03-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145804
02.062.747/0001-08;2024-12-31;1;SUDESTE S.A.;016586;DFP;146071;2025-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146071
02.062.747/0001-08;2024-12-31;2;SUDESTE S.A.;016586;DFP;146091;2025-04-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146091
02.149.205/0001-69;2024-12-31;1;PORTO SEGURO S.A.;016659;DFP;144776;2025-02-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144776
02.193.750/0001-52;2024-12-31;1;DEXXOS PARTICIPAÇÕES S.A.;016632;DFP;145711;2025-03-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145711
02.201.787/0001-85;2024-12-31;1;CEL PARTICIPAÇÕES S.A. - CELPAR;016675;DFP;145910;2025-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145910
02.217.319/0001-07;2024-12-31;1;YBYRÁ CAPITAL S.A.;016705;DFP;146094;2025-04-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146094
02.255.187/0001-08;2024-12-31;1;UNIFIQUE TELECOMUNICAÇÕES S.A.;026050;DFP;145542;2025-03-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145542
02.258.422/0001-97;2024-12-31;1;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;017868;DFP;145967;2025-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145967
02.258.422/0001-97;2024-12-31;2;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;017868;DFP;146176;2025-04-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146176
02.281.836/0001-37;2024-12-31;1;TRANSNORDESTINA LOGISTICA SA;020443;DFP;145384;2025-03-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145384
02.286.479/0001-08;2024-12-31;1;LOCALIZA FLEET S.A.;024813;DFP;145231;2025-03-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145231
02.291.077/0001-93;2024-12-31;1;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;019232;DFP;145380;2025-03-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145380
02.302.100/0001-06;2024-12-31;1;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;016985;DFP;145019;2025-02-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145019
02.302.101/0001-42;2024-12-31;1;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;016993;DFP;145952;2025-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145952
02.302.101/0001-42;2024-12-31;2;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;016993;DFP;145991;2025-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145991
02.302.101/0001-42;2024-12-31;3;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;016993;DFP;146123;2025-04-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146123
02.328.280/0001-97;2024-12-31;1;ELEKTRO REDES S.A.;017485;DFP;144831;2025-02-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144831
02.338.534/0001-58;2024-12-31;1;LONGDIS S.A.;017434;DFP;145797;2025-03-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145797
02.351.144/0001-18;2024-12-31;1;TEGMA GESTAO LOGISTICA S.A.;020800;DFP;145269;2025-03-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145269
02.351.877/0001-52;2024-12-31;1;LWSA S/A;024910;DFP;145376;2025-03-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145376
02.357.251/0001-53;2024-12-31;1;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;024872;DFP;145741;2025-03-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145741
02.365.069/0001-44;2024-12-31;1;PADTEC HOLDING S.A.;018414;DFP;145753;2025-03-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145753
02.382.073/0001-10;2024-12-31;1;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;023469;DFP;145571;2025-03-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145571
02.387.241/0001-60;2024-12-31;1;RUMO S.A.;017450;DFP;144902;2025-02-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144902
02.397.080/0001-96;2024-12-31;1;ITAPEBI GERACAO DE ENERGIA S.A.;019364;DFP;144836;2025-02-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144836
02.421.421/0001-11;2024-12-31;1;TIM S.A.;024929;DFP;144695;2025-02-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144695
02.429.144/0001-93;2024-12-31;1;CPFL ENERGIA S.A.;018660;DFP;145056;2025-02-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145056
02.451.848/0001-62;2024-12-31;1;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;020192;DFP;144621;2025-02-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144621
02.474.103/0001-19;2024-12-31;1;ENGIE BRASIL ENERGIA S.A.;017329;DFP;144906;2025-02-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144906
02.502.844/0001-66;2024-12-31;1;RUMO MALHA PAULISTA S.A.;017930;DFP;145421;2025-03-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145421
02.509.491/0001-26;2024-12-31;1;CONC ECOVIAS IMIGRANTES S.A.;020397;DFP;145483;2025-03-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145483
02.536.066/0001-26;2024-12-31;1;VITAL ENGENHARIA AMBIENTAL S.A.;027510;DFP;145962;2025-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145962
02.558.157/0001-62;2024-12-31;1;TELEFÔNICA BRASIL S.A;017671;DFP;145006;2025-02-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145006
02.560.878/0001-07;2024-12-31;1;HOSPITAL ANCHIETA S.A.;026468;DFP;146068;2025-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146068
02.591.787/0001-39;2024-12-31;1;CAPITALPART PARTICIPACOES S.A.;017493;DFP;145946;2025-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145946
02.600.854/0001-34;2024-12-31;1;TIM BRASIL SERVIÇOS E PARTICIPAÇÕES S.A.;027090;DFP;144751;2025-02-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144751
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DFP;139174;2024-06-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=139174
02.664.042/0001-52;2024-12-31;1;TERMINAL GARAGEM MENEZES CORTES S.A.;018538;DFP;145460;2025-03-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145460
02.762.121/0001-04;2024-12-31;1;SANTOS BRASIL PARTICIPACOES S.A.;017892;DFP;144905;2025-02-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144905
02.762.124/0001-30;2024-12-31;1;BETAPART PARTICIPACOES S.A.;017884;DFP;145633;2025-03-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145633
02.796.775/0001-40;2024-12-31;1;GAMA PARTICIPACOES S.A.;017965;DFP;145649;2025-03-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145649
02.800.026/0001-40;2024-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DFP;145344;2025-03-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145344
02.846.056/0001-97;2024-12-31;1;CCR S.A.;018821;DFP;144617;2025-02-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144617
02.860.694/0001-62;2024-12-31;1;T4F ENTRETENIMENTO S.A.;022454;DFP;145724;2025-03-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145724
02.916.265/0001-60;2024-12-31;1;JBS S.A.;020575;DFP;145755;2025-03-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145755
02.919.555/0001-67;2024-12-31;1;ARTERIS S.A.;019771;DFP;145096;2025-02-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145096
02.932.074/0001-91;2024-12-31;1;HYPERA S.A.;021431;DFP;145606;2025-03-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145606
02.950.811/0001-89;2024-12-31;1;PDG REALTY S.A. EMPREEND E PARTICIPACOES;020478;DFP;146046;2025-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146046
02.992.449/0001-09;2024-12-31;1;PROMPT PARTICIPACOES S.A.;018333;DFP;145733;2025-03-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145733
02.998.301/0001-81;2024-12-31;1;RIO PARANAPANEMA ENERGIA S.A.;018368;DFP;145123;2025-02-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145123
02.998.611/0001-04;2024-12-31;1;ISA ENERGIA BRASIL;018376;DFP;144965;2025-02-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144965
03.014.553/0001-91;2024-12-31;1;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;019330;DFP;145862;2025-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145862
03.014.553/0001-91;2024-12-31;2;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;019330;DFP;145866;2025-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145866
03.014.553/0001-91;2024-12-31;3;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;019330;DFP;146163;2025-04-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146163
03.025.305/0001-46;2024-12-31;1;RODOVIAS DAS COLINAS S.A.;023167;DFP;146080;2025-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146080
03.207.703/0001-83;2024-12-31;1;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;021849;DFP;145098;2025-02-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145098
03.220.438/0001-73;2024-12-31;1;EQUATORIAL S.A.;020010;DFP;145817;2025-03-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145817
03.220.438/0001-73;2024-12-31;2;EQUATORIAL S.A.;020010;DFP;145860;2025-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145860
03.220.438/0001-73;2024-12-31;3;EQUATORIAL S.A.;020010;DFP;146103;2025-04-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146103
